Round,Player1,Player2
Cycle1
Round1,Head,Head
Round2,Head,Head
Round3,Head,Tail
Round4,Tail,Tail
Round5,Tail,Tail
Round6,Tail,Tail
Round7,Head,Tail
Round8,Head,Tail
Round9,Tail,Head
Round10,Tail,Head
Cycle2
Round1,Tail,Head
Round2,Head,Tail
Round3,Tail,Tail
Round4,Head,Head
Round5,Head,Tail
Round6,Head,Head
Round7,Head,Head
Round8,Tail,Head
Round9,Tail,Tail
Round10,Tail,Head
Cycle3
Round1,Tail,Tail
Round2,Tail,Tail
Round3,Tail,Head
Round4,Tail,Head
Round5,Head,Tail
Round6,Tail,Head
Round7,Head,Head
Round8,Tail,Head
Round9,Tail,Tail
Round10,Tail,Tail
